,age,Medu,Fedu,failures,traveltime,studytime,Dalc,Walc,absences,Final_grade,goout,famrel,guardian,Mjob,Fjob,sex,Pstatus,romantic
263,17,3,3,0,1,3,1,1,4,9,3,3,mother,other,other,F,T,no
264,18,2,2,0,1,3,1,1,0,0,3,4,mother,at_home,services,F,T,yes
265,18,3,4,0,2,2,3,4,13,17,5,4,mother,other,other,M,A,no
266,17,3,1,0,1,2,3,4,2,10,4,5,mother,services,other,M,T,yes
267,18,4,4,0,2,2,2,2,8,11,4,4,mother,teacher,other,F,T,no
268,18,4,2,0,1,2,1,3,10,10,5,5,father,health,other,M,T,yes
269,18,2,1,0,2,2,1,2,0,0,5,4,mother,other,other,F,T,yes
270,19,3,3,2,1,2,3,3,15,9,5,4,other,other,services,F,T,no
271,18,2,3,0,1,4,1,3,4,14,5,4,father,other,services,F,T,yes
272,18,1,1,0,2,2,1,1,2,11,3,4,mother,other,other,F,T,no
273,17,1,2,0,1,2,2,2,2,14,2,3,mother,at_home,at_home,M,T,yes
274,17,2,4,0,2,2,1,1,2,10,3,4,mother,at_home,health,F,T,yes
275,17,2,2,0,2,2,2,3,6,12,4,4,mother,services,other,F,T,yes
276,18,3,2,0,2,2,1,1,75,9,1,4,mother,other,services,F,A,yes
277,18,4,4,0,2,1,1,4,22,9,4,3,mother,teacher,services,M,T,no
278,18,4,4,1,1,2,1,1,15,8,4,2,father,health,health,F,T,yes
279,18,4,3,0,2,1,1,2,8,10,3,4,mother,teacher,services,M,T,no
280,17,4,1,0,2,1,2,4,30,8,4,4,mother,services,other,M,A,yes
281,17,3,2,1,1,1,3,4,19,10,4,4,mother,teacher,services,M,A,no
282,18,1,1,0,2,4,1,1,1,12,2,5,mother,at_home,other,F,T,no
283,18,1,1,0,2,2,1,1,4,10,4,5,mother,other,other,F,T,no
284,17,2,2,0,1,2,1,2,4,11,5,5,mother,other,other,F,T,no
285,17,1,1,0,1,2,1,2,2,11,3,4,father,other,other,M,T,no
286,18,2,2,0,1,3,1,2,5,19,3,4,mother,at_home,at_home,F,T,no
287,17,1,1,0,1,3,1,1,6,12,3,4,mother,services,teacher,F,T,no
288,18,2,1,0,1,3,1,3,6,14,4,4,mother,services,services,M,T,no
289,18,4,4,0,1,2,1,1,9,15,3,5,mother,teacher,teacher,M,A,no
290,18,4,2,0,1,2,1,4,11,11,2,4,mother,teacher,other,M,T,yes
291,17,4,3,0,1,3,1,2,0,15,2,4,mother,health,services,F,T,no
292,18,2,1,1,1,2,1,1,12,13,3,5,mother,services,at_home,F,T,yes
293,17,3,1,0,2,4,1,1,6,18,2,3,mother,services,other,F,T,no
294,18,3,2,0,2,3,1,1,8,14,2,5,mother,services,other,M,T,no
295,17,3,3,0,1,1,1,3,4,11,3,4,mother,health,other,M,T,no
296,19,4,4,0,2,2,2,3,0,0,4,2,other,health,other,F,T,no
297,18,4,3,0,2,2,1,2,10,8,5,4,other,other,other,F,T,yes
298,18,4,3,0,1,4,1,1,0,14,3,4,father,other,other,F,T,no
299,18,4,4,0,1,1,2,2,5,16,2,1,mother,teacher,teacher,M,T,yes
300,18,4,4,0,1,2,1,1,14,11,4,4,mother,health,other,F,A,yes
301,17,4,4,0,2,1,2,2,0,10,1,4,father,other,teacher,M,T,no
302,17,4,2,0,2,3,1,1,0,14,3,4,mother,other,other,F,T,no
303,17,3,2,0,1,4,1,2,0,18,2,5,father,health,health,F,T,no
304,19,3,3,1,1,2,1,1,20,13,4,4,other,other,other,M,T,yes
305,18,2,4,1,1,2,1,1,8,12,3,4,other,services,at_home,F,T,no
306,20,3,2,0,1,1,1,1,0,18,3,5,other,services,other,M,A,no
307,19,4,4,1,2,1,1,1,38,8,4,4,other,teacher,services,M,T,yes
308,19,3,3,1,1,2,1,2,0,12,3,4,father,other,services,M,T,yes
309,19,1,1,1,1,2,1,3,18,10,3,4,other,at_home,other,F,T,no
310,19,1,2,1,1,2,2,2,0,0,4,4,other,services,services,F,T,yes
311,19,2,1,0,3,2,1,1,20,13,1,3,other,at_home,other,F,T,yes
312,19,1,2,1,1,2,2,2,3,11,2,4,other,other,services,M,T,no
313,19,3,2,1,2,2,1,2,22,11,2,4,other,services,other,F,T,yes
314,19,1,1,2,1,3,1,1,14,13,2,4,other,at_home,health,F,T,yes
315,19,2,3,1,1,3,1,1,40,11,2,4,other,other,other,F,T,yes
316,18,2,1,0,2,2,1,2,0,0,3,5,mother,services,other,F,T,no
317,18,4,3,0,1,3,1,1,9,9,4,4,mother,other,other,F,T,yes
318,17,3,4,0,1,3,2,5,0,10,4,4,father,at_home,services,F,T,no
319,18,4,4,0,1,2,3,3,2,11,4,4,mother,teacher,other,F,T,no
320,17,4,3,0,1,2,1,2,23,13,2,5,mother,services,services,F,A,yes
321,17,2,2,0,1,2,1,1,12,9,2,4,mother,other,other,F,T,yes
322,17,2,2,0,1,3,2,2,3,11,2,3,mother,services,services,F,T,no
323,17,3,1,0,1,3,2,3,1,15,3,3,father,services,services,F,T,no
324,17,0,2,0,2,3,2,3,0,15,3,3,father,at_home,at_home,F,T,no
325,18,4,4,0,1,3,2,2,3,11,3,4,mother,other,other,M,T,no
326,17,3,3,0,1,1,3,5,3,16,5,4,mother,other,services,M,T,no
327,17,2,2,0,4,1,5,5,8,10,5,4,mother,services,other,M,T,no
328,17,4,4,0,1,3,1,3,7,9,4,5,mother,teacher,services,F,T,no
329,17,4,4,0,2,3,1,2,4,14,3,4,mother,teacher,teacher,F,T,yes
330,18,2,2,0,1,4,2,4,2,8,5,4,mother,other,other,M,T,no
331,17,2,4,0,1,3,1,1,7,14,3,4,father,at_home,other,F,T,yes
332,18,3,3,0,1,2,1,1,0,0,4,5,mother,services,services,F,T,no
333,18,2,2,0,1,2,1,1,0,0,3,4,other,other,other,F,T,yes
334,18,2,2,0,2,4,1,1,0,0,4,4,mother,at_home,other,F,T,no
335,17,3,4,0,1,3,1,3,16,15,5,4,mother,services,other,F,T,no
336,19,3,1,1,1,3,1,2,12,13,3,5,other,services,at_home,F,A,no
337,17,3,2,0,1,2,2,3,0,0,2,4,mother,other,other,F,T,yes
338,18,3,3,0,1,4,1,1,7,17,3,5,mother,services,services,F,T,no
339,17,3,2,0,1,2,2,3,4,10,3,4,mother,other,other,F,A,no
340,19,2,1,1,1,3,1,3,4,11,4,4,other,services,services,F,T,yes
341,18,4,4,1,1,2,2,2,0,0,3,4,father,teacher,services,M,T,no
342,18,3,4,0,1,2,1,3,11,15,3,4,mother,services,other,M,T,yes
343,17,2,2,1,1,2,1,2,0,0,1,3,father,at_home,at_home,F,A,yes
344,18,2,3,0,1,3,1,2,4,10,3,4,mother,at_home,other,F,T,no
345,18,3,2,0,1,3,2,3,7,14,3,5,mother,other,services,F,T,yes
346,18,4,3,0,1,3,1,2,9,16,2,5,mother,teacher,services,M,T,yes
